序号,分类,越南语,中文,级别,词性
717,二、时间、日期、月份与周期,những ngày đầu năm mới,新年的头几天,未标注,
718,三、人称代词、家庭亲属与职场社交,mưu sinh,谋生,未标注,đg.
719,十一、核心动词、形容词、连词与高频成语,biến cố,变故,未标注,d.
720,十一、核心动词、形容词、连词与高频成语,cảm nhận,感受,未标注,đg.
721,十一、核心动词、形容词、连词与高频成语,ấy,那,未标注,đ.
722,七、酒店住宿、房屋租赁与日常家务,bộ phim,（部）电影,未标注,
723,三、人称代词、家庭亲属与职场社交,người dân lao động nghèo,贫困劳动人民,未标注,
724,四、餐饮美食、水果特产与生活调料,đối mặt với,面对,未标注,
725,十一、核心动词、形容词、连词与高频成语,vẫn luôn still,一直,未标注,
726,九、金融理财、股市交易与外汇结算,tình yêu thương,感情/爱,未标注,
727,五、交通出行、海关通关、地理与东南亚国家,nói lên,表达,未标注,
728,八、商务经贸、合同条款与物流生产,bất chấp,不管,未标注,đg.
729,一、数字、量词与度量衡,đa chiều,多边,未标注,t.
730,八、商务经贸、合同条款与物流生产,xã hội số digital,数字社会,未标注,
731,十一、核心动词、形容词、连词与高频成语,hãy cho biết,请说说,未标注,
732,十一、核心动词、形容词、连词与高频成语,những tác động,影响,未标注,
733,十一、核心动词、形容词、连词与高频成语,rộng rãi,宽敞,A1,t.
734,十一、核心动词、形容词、连词与高频成语,ngôi trường,学校,A1,
735,五、交通出行、海关通关、地理与东南亚国家,trường quốc tế,国际学校,A1,
736,三、人称代词、家庭亲属与职场社交,bà cô ấy,她的奶奶/外婆,A1,
737,三、人称代词、家庭亲属与职场社交,chị Hoài,怀姐,A1,
738,十一、核心动词、形容词、连词与高频成语,hơn cả more than,最,A1,
739,十一、核心动词、形容词、连词与高频成语,thích …… nhất … like… t,最喜欢,A1,
740,二、时间、日期、月份与周期,cả tuần,整周,A1,
741,十一、核心动词、形容词、连词与高频成语,nghỉ học,请假,A1,
742,十二、常用口语短句（高频）,nên... không,应该 … 吗?,A1,
743,十一、核心动词、形容词、连词与高频成语,không... đâu,不 …,A1,
744,十一、核心动词、形容词、连词与高频成语,không nên,不应该,A1,
745,十一、核心动词、形容词、连词与高频成语,ôn tập,复习,A2,đg.
746,十一、核心动词、形容词、连词与高频成语,ngữ ph áp,语法,A2,đg.
747,六、购物百货、服装尺码、颜色与售后,đề thi,试题,A2,d.
748,十一、核心动词、形容词、连词与高频成语,làm bài,做题,A2,
749,十一、核心动词、形容词、连词与高频成语,khó quá,太难,A2,
750,十一、核心动词、形容词、连词与高频成语,được đi học,能上学,A2,
751,十一、核心动词、形容词、连词与高频成语,có ……đâu donot,不…,A2,
752,十一、核心动词、形容词、连词与高频成语,điều gì wh,什么,A2,
753,四、餐饮美食、水果特产与生活调料,rượu,酒,A2,d.
754,三、人称代词、家庭亲属与职场社交,bạ nb è,朋友,A2,d.
755,十一、核心动词、形容词、连词与高频成语,tỉnh táo,惊醒,A2,t.
756,十一、核心动词、形容词、连词与高频成语,nghĩ là,认为,A2,
757,十一、核心动词、形容词、连词与高频成语,bị đi ê,疯了,A2,
758,四、餐饮美食、水果特产与生活调料,say rượu drunk,醉酒,A2,
759,十一、核心动词、形容词、连词与高频成语,tư thế,姿势,A2,d.
760,十一、核心动词、形容词、连词与高频成语,đốt cháy,燃烧,A2,
761,四、餐饮美食、水果特产与生活调料,cơ bắp,肌肉,A2,d.
762,九、金融理财、股市交易与外汇结算,să n chắc,结实,A2,t.
763,十一、核心动词、形容词、连词与高频成语,tí ch cực,积极,A2,t.
764,四、餐饮美食、水果特产与生活调料,sau đây,下面,A2,
765,二、时间、日期、月份与周期,khi ngồi,做 的 时 候,A2,
766,五、交通出行、海关通关、地理与东南亚国家,đứng thẳng,站立,A2,
767,十一、核心动词、形容词、连词与高频成语,nh ìn,看,B1,đg.
768,六、购物百货、服装尺码、颜色与售后,anh chàng,小伙子,B1,
769,四、餐饮美食、水果特产与生活调料,phàm ă,胡吃海喝,B1,
770,十、医疗健康、人体疾病与紧急求助,ngẩng mặt,抬头,B1,
771,十一、核心动词、形容词、连词与高频成语,ngồi vào mâm,坐上桌,B1,
772,四、餐饮美食、水果特产与生活调料,đi ăn cỗ,去吃酒席,B1,
773,三、人称代词、家庭亲属与职场社交,nhà bạn,朋友家,B1,
774,七、酒店住宿、房屋租赁与日常家务,nh à cửa,房子,B1,d.
775,十一、核心动词、形容词、连词与高频成语,những vấ n đề,问题,B1,
776,二、时间、日期、月份与周期,tên tuổi,名字和年龄,B1,
777,十、医疗健康、人体疾病与紧急求助,sức khỏe củ,谁的健康,B1,
778,六、购物百货、服装尺码、颜色与售后,sau đây after,之后/之后,B1,
779,三、人称代词、家庭亲属与职场社交,anh trai Ngọc Ngoc' s brother,啊玉的哥哥,B1,
780,七、酒店住宿、房屋租赁与日常家务,xuất viện,出院,B1,
781,七、酒店住宿、房屋租赁与日常家务,nhập viện,住院,B1,
782,十一、核心动词、形容词、连词与高频成语,đến thăm,来看望,B1,
783,五、交通出行、海关通关、地理与东南亚国家,hướng dẫn,引导/指引,B1,đg.
784,四、餐饮美食、水果特产与生活调料,cà ph ê,咖啡,B1,d.
785,十一、核心动词、形容词、连词与高频成语,báocáo,报告,B1,d.
786,十一、核心动词、形容词、连词与高频成语,làm báo cáo,写报告,B1,
787,十一、核心动词、形容词、连词与高频成语,x ác định,确定,B1,đg.
788,八、商务经贸、合同条款与物流生产,mẹo,技巧/妙招,B1,d.
789,四、餐饮美食、水果特产与生活调料,được ăn able,可以吃,B1,
790,八、商务经贸、合同条款与物流生产,biết làm,会做,B1,
791,五、交通出行、海关通关、地理与东南亚国家,lệch lạc,误导性,B1,t.
792,六、购物百货、服装尺码、颜色与售后,tiền của,金钱,B1,d.
793,九、金融理财、股市交易与外汇结算,sự lãng phí,浪费,B1,
794,十一、核心动词、形容词、连词与高频成语,biến tướng,扭曲,B1,
795,十一、核心动词、形容词、连词与高频成语,hoạt động vă n hó,祭祀文化活动,B1,
796,三、人称代词、家庭亲属与职场社交,người đi lễ chùa,去拜寺庙的人们,B1,
797,六、购物百货、服装尺码、颜色与售后,tâm lý đá,大众心理,B1,
798,三、人称代词、家庭亲属与职场社交,cuộc sống vật chất material/ physical l,物质生活,B1,
799,十一、核心动词、形容词、连词与高频成语,gi áo lý,教义,B1,d.
800,十一、核心动词、形容词、连词与高频成语,đề cao,提高,B1,đg.
801,十二、常用口语短句（高频）,để có những hành động,为了做出行为,B1,
802,十一、核心动词、形容词、连词与高频成语,nhà Phật Budd,佛教,B1,
803,五、交通出行、海关通关、地理与东南亚国家,đi lễ chùa,去拜寺庙,B1,
804,七、酒店住宿、房屋租赁与日常家务,hiểu đúng,正确理解,B1,
805,十一、核心动词、形容词、连词与高频成语,hoạt động tâm,祭祀文化活动,B1,
806,十一、核心动词、形容词、连词与高频成语,làm theo,因……而做,B1,
807,十、医疗健康、人体疾病与紧急求助,sang chấn,创伤,B2,d.
808,三、人称代词、家庭亲属与职场社交,cá nhân,个人,B2,d.
809,十一、核心动词、形容词、连词与高频成语,thừa hưởng,遗传,B2,đg.
810,十一、核心动词、形容词、连词与高频成语,bắt nguồn,来源,B2,đg.
811,十、医疗健康、人体疾病与紧急求助,trầm cảm,抑郁症,B2,d.
812,十一、核心动词、形容词、连词与高频成语,di truyền,遗传,B2,đg.
813,十二、常用口语短句（高频）,nỗi đau này không thuộc về bạn,这个伤痛不属于你,B2,
814,八、商务经贸、合同条款与物流生产,tên sách,书名,B2,
815,七、酒店住宿、房屋租赁与日常家务,tổn thương tâm lý,心理创伤,B2,
816,十一、核心动词、形容词、连词与高频成语,Google,谷歌,B2,d.
817,一、数字、量词与度量衡,quý,季度,B2,d.
818,一、数字、量词与度量衡,thứ IV f,第四,B2,
819,八、商务经贸、合同条款与物流生产,kỹ thuật số,数字技术,B2,
820,六、购物百货、服装尺码、颜色与售后,dịch vụ đá,云服务,B2,
821,十一、核心动词、形容词、连词与高频成语,có nghĩa là,意思是,B2,
822,九、金融理财、股市交易与外汇结算,mức lãi,利润率,B2,
823,九、金融理财、股市交易与外汇结算,mức lỗ,亏损率,B2,
824,七、酒店住宿、房屋租赁与日常家务,nền tảng,平台,B2,d.
825,十一、核心动词、形容词、连词与高频成语,quyền lực mềm,软权力,B2,
826,四、餐饮美食、水果特产与生活调料,"5F 5F: Food, Film, Fas",五个包括饮食，电影，武术，庙会,B2,
827,五、交通出行、海关通关、地理与东南亚国家,được nhắc đến,被提到,B2,
828,八、商务经贸、合同条款与物流生产,võ cổ truyền,传统武术,B2,
829,十一、核心动词、形容词、连词与高频成语,massage Thái Thail,泰式按摩,B2,
830,五、交通出行、海关通关、地理与东南亚国家,lụa Thái Thail,泰国丝绸,B2,
831,三、人称代词、家庭亲属与职场社交,đền chùa cổ kính quaint,古老寺庙,B2,
832,五、交通出行、海关通关、地理与东南亚国家,Trung Đông,中东,B2,d.
833,六、购物百货、服装尺码、颜色与售后,Trung Á,中亚,B2,d.
834,五、交通出行、海关通关、地理与东南亚国家,Visa,签证,B2,d.
835,十一、核心动词、形容词、连词与高频成语,linh hoạt,灵活,B2,t.
836,二、时间、日期、月份与周期,thời gi,飞行时长,B2,
837,五、交通出行、海关通关、地理与东南亚国家,được miễn thị thực,免签,B2,
838,十一、核心动词、形容词、连词与高频成语,bình chọn,评选,B2,đg.
839,五、交通出行、海关通关、地理与东南亚国家,kênh truyền hình,电视频道,B2,
840,五、交通出行、海关通关、地理与东南亚国家,CNN CNN,有线电视新闻网,B2,
841,五、交通出行、海关通关、地理与东南亚国家,Tripadvisor,( 全球旅游网站 ),B2,d.
842,十一、核心动词、形容词、连词与高频成语,Telegraph,( 报刊名称 ),B2,d.
843,一、数字、量词与度量衡,Michel,米其林指南,B2,
844,一、数字、量词与度量衡,được gắn sao Michelin Guide,被贴标米其林指南,B2,
845,七、酒店住宿、房屋租赁与日常家务,được thế giới vinh danh,被世界推崇,B2,
846,十一、核心动词、形容词、连词与高频成语,hình thành,形成,未标注,đg.
847,十一、核心动词、形容词、连词与高频成语,các hoạt động,各类活动,未标注,
848,十一、核心动词、形容词、连词与高频成语,bức tranh,画,未标注,d.
849,八、商务经贸、合同条款与物流生产,gọi tên,说 出 …… 名 称,未标注,
850,五、交通出行、海关通关、地理与东南亚国家,được thực hiện,被进行,未标注,
851,十一、核心动词、形容词、连词与高频成语,cần làm gì,要做什么,未标注,
852,十一、核心动词、形容词、连词与高频成语,một thó i quen lành mạnh,好习惯,未标注,
853,八、商务经贸、合同条款与物流生产,lập nghiệp,创业,未标注,đg.
854,十一、核心动词、形容词、连词与高频成语,mong muốn,希望,未标注,d.
855,十一、核心动词、形容词、连词与高频成语,tại đây,在这,未标注,
856,三、人称代词、家庭亲属与职场社交,người ấy,那个人,未标注,
857,十一、核心动词、形容词、连词与高频成语,như sau,如下,未标注,
858,三、人称代词、家庭亲属与职场社交,cùng mình,和我,未标注,
859,十一、核心动词、形容词、连词与高频成语,câu thành ngữ,成语,未标注,
860,五、交通出行、海关通关、地理与东南亚国家,xa mặt cách lòng,隔河千里远,未标注,
861,七、酒店住宿、房屋租赁与日常家务,ký tú cx á,宿舍,A1-B1,d.
862,七、酒店住宿、房屋租赁与日常家务,thu ê,租,A1-B1,đg.
863,七、酒店住宿、房屋租赁与日常家务,că n hộ,公寓,A1-B1,d.
864,十一、核心动词、形容词、连词与高频成语,thời gian đầu,起初,A1-B1,
865,六、购物百货、服装尺码、颜色与售后,trường đạ,大学,A1-B1,
866,十一、核心动词、形容词、连词与高频成语,việc đi học attendance,上学,A1-B1,
867,七、酒店住宿、房屋租赁与日常家务,to à nh à,（ 一 栋 ）楼,A1-B1,d.
868,七、酒店住宿、房屋租赁与日常家务,cánh cửa chính ma,正门,A1-B1,
869,八、商务经贸、合同条款与物流生产,nhìn thấy,看见,A1-B1,
870,七、酒店住宿、房屋租赁与日常家务,căn bếp,厨房,A1-B1,
871,十一、核心动词、形容词、连词与高频成语,bên tay phải on,右边,A1-B1,
872,十一、核心动词、形容词、连词与高频成语,bên tay trái on,左边,A1-B1,
873,十一、核心动词、形容词、连词与高频成语,kê,摆,A1-B1,đg.
874,十一、核心动词、形容词、连词与高频成语,bình hoa,花瓶,A1-B1,d.
875,十一、核心动词、形容词、连词与高频成语,xinh xinh,漂漂亮亮的,A1-B1,t.
876,六、购物百货、服装尺码、颜色与售后,cá c đồ vật t,各类物品,A1-B1,
877,五、交通出行、海关通关、地理与东南亚国家,bước vào,走进,A1-B1,
878,十一、核心动词、形容词、连词与高频成语,tấm thảm,毯子,A1-B1,
879,十一、核心动词、形容词、连词与高频成语,bộ bàn ghế,桌椅,A1-B1,
880,一、数字、量词与度量衡,gần hết n,几乎所有,A1-B1,
881,十一、核心动词、形容词、连词与高频成语,phía bên phải on,右边,A1-B1,
882,五、交通出行、海关通关、地理与东南亚国家,dẫn thẳng,直通,A1-B1,
883,四、餐饮美食、水果特产与生活调料,bộ ấm chén te,茶具,A1-B1,
884,十一、核心动词、形容词、连词与高频成语,góc tường,墙角,A1-B1,
885,六、购物百货、服装尺码、颜色与售后,tủgỗ c,木柜,A1-B1,
886,六、购物百货、服装尺码、颜色与售后,đồ vật,装饰品,A1-B1,
887,七、酒店住宿、房屋租赁与日常家务,gọ ng à ng,整齐,A1-B1,t.
888,十一、核心动词、形容词、连词与高频成语,xếp,摆放,A1-B1,đg.
889,十一、核心动词、形容词、连词与高频成语,ngăn kéo,抽屉,A1-B1,d.
890,七、酒店住宿、房屋租赁与日常家务,ng ăn nắp,整齐,A1-B1,t.
891,八、商务经贸、合同条款与物流生产,càng,更 / 更加,A1-B1,p.
892,十一、核心动词、形容词、连词与高频成语,làm cho,让,A1-B1,
893,三、人称代词、家庭亲属与职场社交,riêng biệt,独立 / 个人,A1-B1,t.
894,八、商务经贸、合同条款与物流生产,trang trí,装饰 /设计,A1-B1,đg.
895,七、酒店住宿、房屋租赁与日常家务,đồ đạc,家具,A1-B1,d.
896,十一、核心动词、形容词、连词与高频成语,nằm sát,靠近,A1-B1,
897,五、交通出行、海关通关、地理与东南亚国家,mà u chủđạo ma,主导颜色,A1-B1,
898,二、时间、日期、月份与周期,mỗi ngày,每天,A1-B1,
899,十一、核心动词、形容词、连词与高频成语,bà iđọc,课文,A1-B1,d.
900,十一、核心动词、形容词、连词与高频成语,mi êu tả,描写,A1-B1,đg.
901,十一、核心动词、形容词、连词与高频成语,ngày xưa,很久以前,A1-B1,d.
902,十一、核心动词、形容词、连词与高频成语,mào,鸡冠,A1-B1,d.
903,五、交通出行、海关通关、地理与东南亚国家,sung sướng,快乐,A1-B1,t.
904,十一、核心动词、形容词、连词与高频成语,rực rỡ,灿烂,A1-B1,t.
905,六、购物百货、服装尺码、颜色与售后,đỏ rực,火红,A1-B1,t.
906,三、人称代词、家庭亲属与职场社交,cô gà má i,( 一 只 ) 母 鸡,A1-B1,
907,十一、核心动词、形容词、连词与高频成语,cái mào,鸡冠,A1-B1,
908,八、商务经贸、合同条款与物流生产,chú gà trống,( 一 只 ) 公 鸡,A1-B1,
909,八、商务经贸、合同条款与物流生产,gà trống,公鸡,A1-B1,
910,二、时间、日期、月份与周期,một buổi sáng sớm,一个早晨,A1-B1,
911,十一、核心动词、形容词、连词与高频成语,gà Má i Mơ,草鸡,A1-B1,
912,五、交通出行、海关通关、地理与东南亚国家,soi mình,照自己,A1-B1,
913,四、餐饮美食、水果特产与生活调料,vũ ng nước,一汪水,A1-B1,d.
914,十、医疗健康、人体疾病与紧急求助,đỉnh đầu,头顶,A1-B1,
915,十一、核心动词、形容词、连词与高频成语,của mình,自己的,A1-B1,
916,十一、核心动词、形容词、连词与高频成语,một chùm hoa,一株花,A1-B1,
917,十一、核心动词、形容词、连词与高频成语,xuýt xoa,啧啧,A1-B1,đg.
918,十一、核心动词、形容词、连词与高频成语,xinh xán,美丽,A1-B1,t.
919,八、商务经贸、合同条款与物流生产,đ áng yê u,可爱,A1-B1,t.
920,十一、核心动词、形容词、连词与高频成语,kiếm,寻找,A1-B1,đg.
921,十一、核心动词、形容词、连词与高频成语,chớp chớp,眨眨,A1-B1,đg.
922,十一、核心动词、形容词、连词与高频成语,bỗng,忽然,A1-B1,p.
923,十一、核心动词、形容词、连词与高频成语,bối rối,为难,A1-B1,t.
924,六、购物百货、服装尺码、颜色与售后,mọi vật,万物,A1-B1,
925,五、交通出行、海关通关、地理与东南亚国家,quay qua,转头,A1-B1,
926,一、数字、量词与度量衡,t.+làm sao,多么 …,A1-B1,
927,十一、核心动词、形容词、连词与高频成语,đi tung tăng,翩跹,A1-B1,
928,四、餐饮美食、水果特产与生活调料,bể nước,水池,A1-B1,
929,十一、核心动词、形容词、连词与高频成语,tiếng khóc ti ti,哭声,A1-B1,
930,十、医疗健康、人体疾病与紧急求助,nghiêng đầu,侧头,A1-B1,
931,十一、核心动词、形容词、连词与高频成语,lắng tai nghe,倾听,A1-B1,
932,八、商务经贸、合同条款与物流生产,thì ra turns out,原来,A1-B1,
933,六、购物百货、服装尺码、颜色与售后,màuđỏtí,紫红,A1-B1,
934,十一、核心动词、形容词、连词与高频成语,tấm tức khóc,委屈的哭,A1-B1,
935,九、金融理财、股市交易与外汇结算,vui sướng happy/ glad,开心,A1-B1,
936,十一、核心动词、形容词、连词与高频成语,vội vàng,匆忙,A1-B1,t.
937,十一、核心动词、形容词、连词与高频成语,sụt sịt,抽泣,A1-B1,đg.
938,十、医疗健康、人体疾病与紧急求助,nước mắt,眼泪,A1-B1,d.
939,十一、核心动词、形容词、连词与高频成语,thánh thót,噗噜噜,A1-B1,t.
940,十一、核心动词、形容词、连词与高频成语,nín,停止哭泣,A1-B1,đg.
941,十一、核心动词、形容词、连词与高频成语,bông hoa,花朵,A1-B1,d.
942,十一、核心动词、形容词、连词与高频成语,đg. + thế,这么…,A1-B1,
943,五、交通出行、海关通关、地理与东南亚国家,tươi tỉnh,欢快,A1-B1,t.
944,五、交通出行、海关通关、地理与东南亚国家,chạy đến,跑到,A1-B1,
945,十一、核心动词、形容词、连词与高频成语,khẽ hỏi,悄悄的问,A1-B1,
946,十二、常用口语短句（高频）,làm sao thế,怎么了,A1-B1,
947,十二、常用口语短句（高频）,làm bạn phiền lò ng,让你难过,A1-B1,
948,十一、核心动词、形容词、连词与高频成语,giọt nước mắt,泪珠,A1-B1,
949,十一、核心动词、形容词、连词与高频成语,hạt sương,露珠,A1-B1,
950,二、时间、日期、月份与周期,quanh đây,周围,A1-B1,
951,十二、常用口语短句（高频）,chỉ mỗi mình tôi,只有我一个人,A1-B1,
952,七、酒店住宿、房屋租赁与日常家务,còn bảo rằng,还说,A1-B1,
953,十一、核心动词、形容词、连词与高频成语,đến … cũng…,连 … 都,A1-B1,
954,十、医疗健康、人体疾病与紧急求助,trên đầu,头上,A1-B1,
955,十一、核心动词、形容词、连词与高频成语,thế mà …,而/ 然而,A1-B1,
956,十一、核心动词、形容词、连词与高频成语,nói dứt câu,刚说完,A1-B1,
957,六、购物百货、服装尺码、颜色与售后,lại bật khóc,嚎啕大哭,A1-B1,
958,十一、核心动词、形容词、连词与高频成语,rơi xuống,落下,A1-B1,
959,三、人称代词、家庭亲属与职场社交,một lúc,一会儿,A1-B1,
960,三、人称代词、家庭亲属与职场社交,đầu t(四)i,我的头,A1-B1,
961,十一、核心动词、形容词、连词与高频成语,hỏi dồn,追问,A1-B1,
962,十一、核心动词、形容词、连词与高频成语,thật ư,是吗,A1-B1,
963,十一、核心动词、形容词、连词与高频成语,thật chứ,真的啊,A1-B1,
964,三、人称代词、家庭亲属与职场社交,còn tôi,而我,A1-B1,
965,五、交通出行、海关通关、地理与东南亚国家,cũng được,也可以 / 也行,A1-B1,
966,十一、核心动词、形容词、连词与高频成语,xin cảm ơn,谢谢,A1-B1,
967,十一、核心动词、形容词、连词与高频成语,đẹp đẽ,美丽,A1-B1,t.
968,十一、核心动词、形容词、连词与高频成语,cò n,而,A1-B1,
969,十一、核心动词、形容词、连词与高频成语,y hệt,一模一样,A1-B1,t.
970,二、时间、日期、月份与周期,sáng hôm sau,第二天早上,A1-B1,
971,五、交通出行、海关通关、地理与东南亚国家,biến đâu mất,哪里去了 / 不见了,A1-B1,
972,十一、核心动词、形容词、连词与高频成语,cái thân cây trunk,树干,A1-B1,
973,十一、核心动词、形容词、连词与高频成语,một chùm,一株花,A1-B1,
974,十一、核心动词、形容词、连词与高频成语,cái cây,树,A1-B1,
975,十一、核心动词、形容词、连词与高频成语,nhuộm,染,A1-B1,đg.
976,十一、核心动词、形容词、连词与高频成语,khe khẽ,轻轻的,A1-B1,t.
977,十一、核心动词、形容词、连词与高频成语,tá m tắc,啧啧,A1-B1,đg.
978,十一、核心动词、形容词、连词与高频成语,khen ngợi,称赞,A1-B1,đg.
979,八、商务经贸、合同条款与物流生产,ch ào đó n,迎接,A1-B1,đg.
980,十一、核心动词、形容词、连词与高频成语,ch úc,祝,A1-B1,đg.
981,十、医疗健康、人体疾病与紧急求助,bụng dạ,心肠,A1-B1,d.
982,十一、核心动词、形容词、连词与高频成语,tuyệt đẹp,绝美,A1-B1,t.
983,六、购物百货、服装尺码、颜色与售后,nho nhỏ,小小的,A1-B1,t.
984,八、商务经贸、合同条款与物流生产,vươn mình str,向上伸展,A1-B1,
985,七、酒店住宿、房屋租赁与日常家务,ánh nắng mặt trời suns,阳光,A1-B1,
986,七、酒店住宿、房屋租赁与日常家务,ánh náng suns,阳光,A1-B1,
987,六、购物百货、服装尺码、颜色与售后,đỏ thắm crim,朱红,A1-B1,
988,十、医疗健康、人体疾病与紧急求助,lòng tốt,好心,A1-B1,
989,十一、核心动词、形容词、连词与高频成语,ai cũng,谁都,A1-B1,
990,十一、核心动词、形容词、连词与高频成语,sinh r,变成,A1-B1,
991,六、购物百货、服装尺码、颜色与售后,viên ngọc quý,珍贵的宝石,A1-B1,
992,二、时间、日期、月份与周期,thế là từ đó,从那时起,A1-B1,
993,十一、核心动词、形容词、连词与高频成语,bông hoa ấy,那朵花,A1-B1,
994,七、酒店住宿、房屋租赁与日常家务,được gọi là,被称为,A1-B1,
995,十、医疗健康、人体疾病与紧急求助,tấm lòng tốt,（一片）好心/善心,A1-B1,
996,四、餐饮美食、水果特产与生活调料,trứng hồng,粉色的蛋,A1-B1,
997,三、人称代词、家庭亲属与职场社交,nhú lên,长出,A1-B1,
998,十一、核心动词、形容词、连词与高频成语,kh óc,哭,A1-B1,đg.
999,六、购物百货、服装尺码、颜色与售后,loài vật,动物,A1-B1,d.
1000,三、人称代词、家庭亲属与职场社交,theo bạn,你认为,A1-B1,
1001,三、人称代词、家庭亲属与职场社交,tì nh bạn,友情,A1-B1,d.
1002,十一、核心动词、形容词、连词与高频成语,chân thành,真诚,A1-B1,t.
1003,十一、核心动词、形容词、连词与高频成语,4 (bốn),四,A1-B1,d.
1004,七、酒店住宿、房屋租赁与日常家务,mái tum,阁楼,A1-B1,d.
1005,十一、核心动词、形容词、连词与高频成语,sum họp,团聚,A1-B1,đg.
1006,十一、核心动词、形容词、连词与高频成语,điền từ,填词,A1-B1,
1007,一、数字、量词与度量衡,mét vuông squ,平方米,A1-B1,
1008,七、酒店住宿、房屋租赁与日常家务,được sơn,被刷 (漆),A1-B1,
1009,六、购物百货、服装尺码、颜色与售后,màu g,浅灰色,A1-B1,
1010,七、酒店住宿、房屋租赁与日常家务,khoảng sân,院子,A1-B1,
1011,六、购物百货、服装尺码、颜色与售后,nhỏ hơn,比 … 小,A1-B1,
1012,二、时间、日期、月份与周期,được chia thành,被分为,A1-B1,
1013,七、酒店住宿、房屋租赁与日常家务,phòng bếp,厨房,A1-B1,
1014,三、人称代词、家庭亲属与职场社交,em trai younger brother,弟弟,A1-B1,
1015,三、人称代词、家庭亲属与职场社交,người Hà Lan,荷兰人,A1,
1016,三、人称代词、家庭亲属与职场社交,người Ba Lan,波兰人,A1,
1017,十一、核心动词、形容词、连词与高频成语,không ... lắm,不太,A1,
1018,十一、核心动词、形容词、连词与高频成语,hết,没了/完了,A1,đg.
1019,八、商务经贸、合同条款与物流生产,ng,听见,A1,
1020,十一、核心动词、形容词、连词与高频成语,tất cả mọi thứ,一切,A1,
1021,五、交通出行、海关通关、地理与东南亚国家,nghe được,能听到,A1,
1022,八、商务经贸、合同条款与物流生产,kỹ năng,技能,A2,d.
1023,二、时间、日期、月份与周期,thứ ngày,星期,A2,d.
1024,八、商务经贸、合同条款与物流生产,ơi,表招呼),A2,c.
1025,十一、核心动词、形容词、连词与高频成语,nhỉ,呢 (表示委婉),A2,p.
1026,四、餐饮美食、水果特产与生活调料,ổ bánh mì loaf,(个) 面包,A2,
1027,十、医疗健康、人体疾病与紧急求助,pa-tê,猪肝泥,A2,d.
1028,四、餐饮美食、水果特产与生活调料,chả,煎肉饼,A2,d.
1029,三、人称代词、家庭亲属与职场社交,phô mai,奶酪,A2,d.
1030,四、餐饮美食、水果特产与生活调料,bánh tôm,虾饼,A2,d.
1031,八、商务经贸、合同条款与物流生产,đặc sản,特产,A2,d.
1032,五、交通出行、海关通关、地理与东南亚国家,Hồ Tây,西湖,A2,d.
1033,三、人称代词、家庭亲属与职场社交,hẹn hò,约会,A2,đg.
1034,十一、核心动词、形容词、连词与高频成语,di tích,遗迹,A2,d.
1035,五、交通出行、海关通关、地理与东南亚国家,hồ nước,湖,A2,
1036,八、商务经贸、合同条款与物流生产,sáng tác,创作,A2,đg.
1037,七、酒店住宿、房屋租赁与日常家务,nghệ sĩ,艺术家,A2,d.
1038,三、人称代词、家庭亲属与职场社交,nhà thơ,诗人,A2,d.
1039,十一、核心动词、形容词、连词与高频成语,lãng mạn,浪漫,A2,t.
1040,四、餐饮美食、水果特产与生活调料,gặp gỡ,见面,A2,đg.
1041,十一、核心动词、形容词、连词与高频成语,nguồn cảm hứng,灵感源泉,A2,
1042,十一、核心动词、形容词、连词与高频成语,nghi lễ,仪式,A2,d.
1043,十一、核心动词、形容词、连词与高频成语,thể hiện,表示,A2,đg.
1044,三、人称代词、家庭亲属与职场社交,sự đồng ý,同意,A2,
1045,六、购物百货、服装尺码、颜色与售后,việc kết hôn,结婚事宜,A2,
1046,十一、核心动词、形容词、连词与高频成语,lễ chạm ngõ,问名礼仪,A2,
1047,九、金融理财、股市交易与外汇结算,đôi trai gái,一对情侣,A2,
1048,十一、核心动词、形容词、连词与高频成语,lễ ăn hỏi,纳征礼,A2,
1049,九、金融理财、股市交易与外汇结算,lễ xin dâu,请期礼仪,A2,
1050,三、人称代词、家庭亲属与职场社交,lễ đón dâu,亲迎礼仪,A2,
1051,十一、核心动词、形容词、连词与高频成语,xin,请求,A2,đg.
1052,二、时间、日期、月份与周期,rải rác,分散,B1,t.
1053,十一、核心动词、形容词、连词与高频成语,âm u,阴沉,B1,t.
1054,一、数字、量词与度量衡,độ ẩm,湿度,B1,d.
1055,二、时间、日期、月份与周期,các ngày tới,未来几天,B1,
1056,五、交通出行、海关通关、地理与东南亚国家,Tây Bắc Bộ,西北部,B1,
1057,五、交通出行、海关通关、地理与东南亚国家,Bắc Bộ,北部,B1,d.
1058,五、交通出行、海关通关、地理与东南亚国家,Nam Bộ,南部,B1,d.
1059,五、交通出行、海关通关、地理与东南亚国家,Sài Gòn,西贡,B1,d.
1060,五、交通出行、海关通关、地理与东南亚国家,phố phường,街道,B2,d.
1061,七、酒店住宿、房屋租赁与日常家务,chiếu phim,放映电影,B1,
1062,二、时间、日期、月份与周期,lúc,时候,B1,d.
1063,七、酒店住宿、房屋租赁与日常家务,xem phim,看电影,B1,
1064,五、交通出行、海关通关、地理与东南亚国家,vé xem p,电影票,B1,
1065,十一、核心动词、形容词、连词与高频成语,bóng rổ,篮球,B1,d.
1066,十一、核心动词、形容词、连词与高频成语,lớp,班,B1,d.
